,Time,Open,High,Low,Close,Volume
0,2025-01-01 22:00:00+00:00,2624.8,2636.02,2620.7,2633.47,715
1,2025-01-02 03:30:00+00:00,2633.12,2637.61,2631.0,2636.38,858
2,2025-01-02 09:00:00+00:00,2637.21,2648.21,2632.0,2646.41,846
3,2025-01-02 14:30:00+00:00,2646.6,2660.21,2645.49,2654.76,855
4,2025-01-02 20:00:00+00:00,2654.6,2661.89,2654.2,2658.67,704
5,2025-01-03 01:30:00+00:00,2658.5,2664.8,2656.01,2659.48,861
6,2025-01-03 07:00:00+00:00,2659.86,2659.86,2650.04,2655.5,852
7,2025-01-03 12:30:00+00:00,2655.32,2657.39,2638.1,2641.72,845
8,2025-01-03 18:00:00+00:00,2641.97,2642.78,2636.1,2639.82,627
9,2025-01-05 19:30:00+00:00,2639.82,2643.11,2637.7,2643.11,303
10,2025-01-06 01:00:00+00:00,2642.82,2647.01,2630.5,2631.31,869
11,2025-01-06 06:30:00+00:00,2631.1,2648.9,2625.39,2645.17,846
12,2025-01-06 12:00:00+00:00,2645.76,2648.7,2614.66,2637.01,844
13,2025-01-06 17:30:00+00:00,2637.06,2638.49,2632.7,2635.46,702
14,2025-01-06 23:00:00+00:00,2634.5,2641.01,2632.1,2638.06,857
15,2025-01-07 04:30:00+00:00,2638.12,2646.29,2636.9,2641.81,862
16,2025-01-07 10:00:00+00:00,2641.81,2663.97,2641.1,2650.49,848
17,2025-01-07 15:30:00+00:00,2651.93,2655.74,2645.06,2649.92,850
18,2025-01-07 21:00:00+00:00,2650.22,2651.22,2646.3,2647.24,702
19,2025-01-08 02:30:00+00:00,2646.61,2654.25,2644.4,2652.3,866
20,2025-01-08 08:00:00+00:00,2652.19,2659.02,2645.78,2656.95,859
21,2025-01-08 13:30:00+00:00,2655.0,2669.76,2650.77,2653.23,855
22,2025-01-08 19:00:00+00:00,2652.76,2663.91,2652.51,2659.71,702
23,2025-01-09 00:30:00+00:00,2660.03,2661.94,2655.64,2657.91,861
