,Time,Open,High,Low,Close,Volume
0,2025-01-01 22:30:00+00:00,2624.8,2627.08,2620.7,2627.08,283
1,2025-01-02 00:45:00+00:00,2626.91,2636.02,2624.16,2634.63,353
2,2025-01-02 03:00:00+00:00,2634.68,2635.09,2631.0,2633.26,354
3,2025-01-02 05:15:00+00:00,2633.19,2636.15,2631.31,2634.42,351
4,2025-01-02 07:30:00+00:00,2633.7,2639.55,2631.02,2637.05,348
5,2025-01-02 09:45:00+00:00,2637.06,2645.73,2632.0,2641.87,350
6,2025-01-02 12:00:00+00:00,2642.15,2647.01,2636.11,2645.73,342
7,2025-01-02 14:15:00+00:00,2646.78,2657.7,2645.49,2656.81,348
8,2025-01-02 16:30:00+00:00,2656.46,2660.21,2652.6,2655.86,351
9,2025-01-02 18:45:00+00:00,2655.87,2660.18,2653.88,2659.38,350
10,2025-01-02 21:00:00+00:00,2659.56,2659.9,2656.24,2656.7,196
11,2025-01-02 23:15:00+00:00,2657.77,2661.89,2656.9,2658.67,352
12,2025-01-03 01:30:00+00:00,2658.5,2664.8,2656.01,2662.38,352
13,2025-01-03 03:45:00+00:00,2662.31,2664.2,2656.16,2658.45,352
14,2025-01-03 06:00:00+00:00,2657.56,2660.02,2651.67,2653.83,349
15,2025-01-03 08:15:00+00:00,2653.46,2657.1,2650.04,2656.5,346
16,2025-01-03 10:30:00+00:00,2656.4,2659.14,2653.26,2656.73,353
17,2025-01-03 12:45:00+00:00,2656.61,2657.39,2643.85,2647.72,343
18,2025-01-03 15:00:00+00:00,2648.26,2648.26,2638.1,2641.33,347
19,2025-01-03 17:15:00+00:00,2641.13,2642.78,2639.16,2641.19,352
20,2025-01-03 19:30:00+00:00,2641.14,2641.9,2636.1,2639.93,354
21,2025-01-03 21:45:00+00:00,2639.7,2640.65,2638.62,2639.82,37
22,2025-01-05 21:00:00+00:00,2639.82,2640.85,2638.85,2640.64,30
23,2025-01-05 23:15:00+00:00,2640.84,2647.01,2637.7,2645.56,356
24,2025-01-06 01:30:00+00:00,2645.03,2645.34,2639.7,2640.59,356
25,2025-01-06 03:45:00+00:00,2640.49,2640.99,2632.23,2633.68,353
26,2025-01-06 06:00:00+00:00,2634.48,2635.05,2625.39,2626.5,351
27,2025-01-06 08:15:00+00:00,2628.28,2635.45,2627.17,2633.27,346
28,2025-01-06 10:30:00+00:00,2632.24,2648.9,2631.17,2644.48,341
29,2025-01-06 12:45:00+00:00,2644.58,2648.7,2614.66,2631.16,346
30,2025-01-06 15:00:00+00:00,2633.03,2641.03,2629.65,2639.11,343
31,2025-01-06 17:15:00+00:00,2638.87,2639.94,2633.17,2634.26,353
32,2025-01-06 19:30:00+00:00,2633.6,2636.78,2632.7,2635.83,352
33,2025-01-06 21:45:00+00:00,2635.7,2635.83,2633.54,2634.43,197
34,2025-01-07 00:00:00+00:00,2634.6,2641.01,2632.1,2637.89,349
35,2025-01-07 02:15:00+00:00,2638.09,2640.06,2636.91,2638.06,348
36,2025-01-07 04:30:00+00:00,2638.12,2646.29,2636.9,2643.89,354
37,2025-01-07 06:45:00+00:00,2643.52,2644.57,2638.16,2641.08,355
38,2025-01-07 09:00:00+00:00,2642.36,2646.78,2640.0,2644.75,345
39,2025-01-07 11:15:00+00:00,2644.7,2660.78,2642.06,2659.95,351
40,2025-01-07 13:30:00+00:00,2660.81,2663.97,2642.68,2647.58,343
41,2025-01-07 15:45:00+00:00,2646.63,2655.74,2646.39,2652.65,346
42,2025-01-07 18:00:00+00:00,2652.18,2652.33,2646.7,2649.03,350
43,2025-01-07 20:15:00+00:00,2647.97,2651.18,2647.29,2648.26,274
44,2025-01-07 22:30:00+00:00,2646.98,2651.22,2646.8,2650.92,272
45,2025-01-08 00:45:00+00:00,2650.92,2651.19,2645.1,2649.02,351
46,2025-01-08 03:00:00+00:00,2648.61,2648.74,2644.4,2647.21,356
47,2025-01-08 05:15:00+00:00,2647.05,2654.25,2647.03,2653.01,353
48,2025-01-08 07:30:00+00:00,2652.88,2654.69,2649.61,2653.95,351
49,2025-01-08 09:45:00+00:00,2653.87,2654.94,2647.64,2650.6,354
50,2025-01-08 12:00:00+00:00,2650.69,2664.01,2645.78,2662.56,345
51,2025-01-08 14:15:00+00:00,2663.71,2667.62,2659.82,2666.35,348
52,2025-01-08 16:30:00+00:00,2666.01,2669.76,2650.77,2656.98,355
53,2025-01-08 18:45:00+00:00,2655.92,2663.91,2651.76,2663.34,349
54,2025-01-08 21:00:00+00:00,2662.9,2663.76,2660.65,2661.86,192
55,2025-01-08 23:15:00+00:00,2662.06,2662.92,2656.8,2657.8,358
56,2025-01-09 01:30:00+00:00,2657.58,2661.94,2656.4,2661.48,351
57,2025-01-09 03:45:00+00:00,2661.5,2661.5,2655.64,2657.91,352
58,2025-01-09 06:00:00+00:00,2658.35,2666.55,2657.7,2662.12,348
59,2025-01-09 08:15:00+00:00,2661.68,2666.77,2661.3,2666.27,349
60,2025-01-09 10:30:00+00:00,2665.87,2674.34,2665.3,2672.58,354
61,2025-01-09 12:45:00+00:00,2672.93,2677.85,2667.76,2672.13,350
62,2025-01-09 15:00:00+00:00,2672.28,2675.23,2663.6,2665.43,347
63,2025-01-09 17:15:00+00:00,2665.39,2672.31,2662.79,2669.78,354
64,2025-01-09 19:30:00+00:00,2670.06,2670.69,2667.7,2669.46,353
65,2025-01-09 21:45:00+00:00,2669.81,2670.79,2668.2,2669.95,198
66,2025-01-10 00:00:00+00:00,2670.08,2672.06,2668.1,2671.35,352
67,2025-01-10 02:15:00+00:00,2671.49,2674.52,2670.64,2672.8,354
68,2025-01-10 04:30:00+00:00,2672.79,2676.73,2670.6,2676.15,356
69,2025-01-10 06:45:00+00:00,2676.56,2680.11,2673.8,2679.76,347
70,2025-01-10 09:00:00+00:00,2680.06,2682.25,2677.71,2681.27,351
71,2025-01-10 11:15:00+00:00,2681.7,2682.8,2675.2,2676.61,349
72,2025-01-10 13:30:00+00:00,2670.86,2697.39,2663.8,2693.98,335
73,2025-01-10 15:45:00+00:00,2691.28,2697.27,2687.38,2695.57,347
74,2025-01-10 18:00:00+00:00,2695.81,2696.11,2684.48,2687.9,352
75,2025-01-10 20:15:00+00:00,2688.16,2692.8,2686.92,2688.77,275
76,2025-01-12 21:45:00+00:00,2688.77,2690.64,2686.31,2690.64,136
77,2025-01-13 00:00:00+00:00,2690.06,2693.12,2679.4,2689.18,362
78,2025-01-13 02:15:00+00:00,2688.81,2690.6,2684.9,2686.4,355
79,2025-01-13 04:30:00+00:00,2686.64,2691.2,2683.58,2690.0,350
80,2025-01-13 06:45:00+00:00,2689.59,2690.23,2683.96,2687.11,351
81,2025-01-13 09:00:00+00:00,2686.76,2688.13,2677.6,2679.4,351
82,2025-01-13 11:15:00+00:00,2679.39,2680.5,2665.27,2668.95,347
83,2025-01-13 13:30:00+00:00,2668.87,2673.95,2664.0,2666.37,344
84,2025-01-13 15:45:00+00:00,2666.52,2667.71,2659.21,2660.77,352
85,2025-01-13 18:00:00+00:00,2660.74,2662.31,2656.88,2659.96,353
86,2025-01-13 20:15:00+00:00,2659.71,2663.85,2659.09,2663.2,269
87,2025-01-13 22:30:00+00:00,2663.19,2670.69,2662.5,2670.52,275
88,2025-01-14 00:45:00+00:00,2670.63,2671.96,2667.91,2670.33,351
89,2025-01-14 03:00:00+00:00,2670.16,2675.07,2668.38,2673.06,350
90,2025-01-14 05:15:00+00:00,2672.88,2673.06,2667.32,2668.42,346
91,2025-01-14 07:30:00+00:00,2668.35,2673.9,2665.02,2665.16,349
