,Time,Open,High,Low,Close,Volume
0,2025-01-01 22:30:00+00:00,2624.8,2625.01,2620.7,2623.68,163
1,2025-01-02 00:00:00+00:00,2623.52,2632.77,2622.0,2632.49,237
2,2025-01-02 01:30:00+00:00,2632.52,2636.02,2631.54,2634.63,236
3,2025-01-02 03:00:00+00:00,2634.68,2635.09,2631.9,2632.31,233
4,2025-01-02 04:30:00+00:00,2632.53,2636.15,2631.0,2633.91,237
5,2025-01-02 06:00:00+00:00,2633.2,2635.67,2631.31,2634.42,235
6,2025-01-02 07:30:00+00:00,2633.7,2637.61,2631.02,2636.38,232
7,2025-01-02 09:00:00+00:00,2637.21,2645.73,2632.0,2644.93,232
8,2025-01-02 10:30:00+00:00,2645.1,2645.18,2639.81,2641.87,234
9,2025-01-02 12:00:00+00:00,2642.15,2646.34,2636.11,2640.74,229
10,2025-01-02 13:30:00+00:00,2638.66,2650.71,2637.43,2647.02,229
11,2025-01-02 15:00:00+00:00,2647.69,2657.7,2645.49,2656.81,232
12,2025-01-02 16:30:00+00:00,2656.46,2660.21,2652.6,2656.54,234
13,2025-01-02 18:00:00+00:00,2656.62,2658.44,2653.8,2655.3,233
14,2025-01-02 19:30:00+00:00,2655.29,2660.18,2654.2,2659.38,234
15,2025-01-02 21:00:00+00:00,2659.56,2659.9,2656.24,2656.99,159
16,2025-01-02 22:30:00+00:00,2657.22,2659.27,2656.5,2658.11,156
17,2025-01-03 00:00:00+00:00,2658.56,2661.89,2657.3,2658.67,233
18,2025-01-03 01:30:00+00:00,2658.5,2663.45,2656.01,2661.87,235
19,2025-01-03 03:00:00+00:00,2662.14,2664.8,2661.16,2663.89,236
20,2025-01-03 04:30:00+00:00,2663.86,2663.86,2656.16,2658.45,233
21,2025-01-03 06:00:00+00:00,2657.56,2660.02,2651.67,2652.68,234
22,2025-01-03 07:30:00+00:00,2653.13,2655.59,2650.04,2652.86,231
23,2025-01-03 09:00:00+00:00,2653.1,2657.1,2652.56,2656.5,230
24,2025-01-03 10:30:00+00:00,2656.4,2659.14,2653.26,2657.61,236
25,2025-01-03 12:00:00+00:00,2657.6,2657.98,2648.11,2649.76,232
26,2025-01-03 13:30:00+00:00,2649.89,2652.26,2643.85,2647.72,228
27,2025-01-03 15:00:00+00:00,2648.26,2648.26,2640.77,2641.32,230
28,2025-01-03 16:30:00+00:00,2641.4,2643.29,2638.1,2641.72,233
29,2025-01-03 18:00:00+00:00,2641.97,2642.78,2639.3,2641.19,236
30,2025-01-03 19:30:00+00:00,2641.14,2641.9,2636.8,2638.07,237
31,2025-01-03 21:00:00+00:00,2637.86,2640.65,2636.1,2639.82,154
32,2025-01-05 21:00:00+00:00,2639.82,2639.82,2639.82,2639.82,1
33,2025-01-05 22:30:00+00:00,2640.52,2642.25,2638.85,2640.67,138
34,2025-01-06 00:00:00+00:00,2640.65,2647.01,2637.7,2645.56,247
35,2025-01-06 01:30:00+00:00,2645.03,2645.34,2639.81,2644.36,236
36,2025-01-06 03:00:00+00:00,2644.36,2645.14,2635.47,2637.79,237
37,2025-01-06 04:30:00+00:00,2637.36,2638.43,2632.23,2633.68,236
38,2025-01-06 06:00:00+00:00,2634.48,2635.05,2630.18,2630.69,234
39,2025-01-06 07:30:00+00:00,2630.55,2632.03,2625.39,2631.3,232
40,2025-01-06 09:00:00+00:00,2631.94,2635.45,2631.26,2633.27,231
41,2025-01-06 10:30:00+00:00,2632.24,2648.9,2631.17,2645.17,226
42,2025-01-06 12:00:00+00:00,2645.76,2648.7,2642.04,2642.68,230
43,2025-01-06 13:30:00+00:00,2642.38,2642.68,2614.66,2631.16,231
44,2025-01-06 15:00:00+00:00,2633.03,2639.23,2629.65,2638.49,228
45,2025-01-06 16:30:00+00:00,2638.54,2641.03,2634.39,2636.9,234
46,2025-01-06 18:00:00+00:00,2636.08,2638.49,2633.17,2634.26,234
47,2025-01-06 19:30:00+00:00,2633.6,2635.33,2632.7,2634.22,234
48,2025-01-06 21:00:00+00:00,2634.76,2636.78,2634.11,2635.46,155
49,2025-01-06 22:30:00+00:00,2634.5,2635.7,2633.54,2634.43,160
50,2025-01-07 00:00:00+00:00,2634.6,2638.81,2632.1,2637.48,234
51,2025-01-07 01:30:00+00:00,2637.27,2641.01,2636.4,2638.89,231
52,2025-01-07 03:00:00+00:00,2638.91,2640.06,2637.2,2638.06,232
53,2025-01-07 04:30:00+00:00,2638.12,2645.17,2636.9,2644.42,238
54,2025-01-07 06:00:00+00:00,2644.16,2646.29,2639.77,2640.52,234
55,2025-01-07 07:30:00+00:00,2640.64,2644.57,2638.16,2641.08,237
56,2025-01-07 09:00:00+00:00,2642.36,2643.89,2640.0,2642.79,231
57,2025-01-07 10:30:00+00:00,2642.6,2648.54,2642.06,2648.29,233
58,2025-01-07 12:00:00+00:00,2648.63,2660.78,2646.6,2659.95,232
59,2025-01-07 13:30:00+00:00,2660.81,2663.97,2655.89,2657.95,230
60,2025-01-07 15:00:00+00:00,2654.22,2657.95,2642.68,2650.92,229
61,2025-01-07 16:30:00+00:00,2650.17,2655.74,2649.06,2652.65,230
62,2025-01-07 18:00:00+00:00,2652.18,2652.33,2647.15,2647.51,233
63,2025-01-07 19:30:00+00:00,2647.9,2651.18,2646.7,2649.92,233
64,2025-01-07 21:00:00+00:00,2650.22,2650.22,2647.52,2648.26,158
65,2025-01-07 22:30:00+00:00,2646.98,2649.76,2646.8,2649.46,152
66,2025-01-08 00:00:00+00:00,2648.3,2651.22,2647.65,2648.13,235
67,2025-01-08 01:30:00+00:00,2647.96,2650.13,2645.1,2649.02,236
68,2025-01-08 03:00:00+00:00,2648.61,2648.74,2645.79,2647.15,235
69,2025-01-08 04:30:00+00:00,2647.45,2650.58,2644.4,2650.03,239
70,2025-01-08 06:00:00+00:00,2649.86,2654.25,2648.97,2653.01,235
71,2025-01-08 07:30:00+00:00,2652.88,2653.41,2649.61,2651.8,233
72,2025-01-08 09:00:00+00:00,2652.08,2654.69,2651.4,2654.07,235
73,2025-01-08 10:30:00+00:00,2654.21,2654.94,2647.64,2650.6,237
74,2025-01-08 12:00:00+00:00,2650.69,2659.02,2645.78,2656.95,232
75,2025-01-08 13:30:00+00:00,2655.0,2667.17,2652.67,2662.08,229
76,2025-01-08 15:00:00+00:00,2661.86,2667.62,2659.82,2666.35,232
77,2025-01-08 16:30:00+00:00,2666.01,2669.76,2650.77,2655.54,237
78,2025-01-08 18:00:00+00:00,2656.01,2660.32,2651.76,2659.76,233
79,2025-01-08 19:30:00+00:00,2659.27,2663.91,2656.2,2663.34,234
80,2025-01-08 21:00:00+00:00,2662.9,2663.76,2660.65,2660.65,158
81,2025-01-08 22:30:00+00:00,2662.74,2662.92,2660.71,2662.54,155
82,2025-01-09 00:00:00+00:00,2662.59,2662.59,2656.8,2657.8,237
83,2025-01-09 01:30:00+00:00,2657.58,2660.73,2656.4,2658.53,234
84,2025-01-09 03:00:00+00:00,2658.63,2661.94,2656.69,2656.74,233
85,2025-01-09 04:30:00+00:00,2656.62,2660.85,2655.64,2657.91,236
86,2025-01-09 06:00:00+00:00,2658.35,2666.55,2657.7,2665.26,231
87,2025-01-09 07:30:00+00:00,2665.16,2666.77,2660.54,2664.33,234
88,2025-01-09 09:00:00+00:00,2664.9,2666.64,2662.25,2666.27,232
89,2025-01-09 10:30:00+00:00,2665.87,2672.99,2665.3,2669.95,235
90,2025-01-09 12:00:00+00:00,2669.66,2676.52,2669.49,2675.56,236
91,2025-01-09 13:30:00+00:00,2675.01,2677.85,2667.76,2672.13,233
