,Time,Open,High,Low,Close,Volume
0,2025-01-01 21:00:00+00:00,2624.8,2626.21,2620.7,2625.2,244
1,2025-01-02 00:30:00+00:00,2626.01,2636.02,2624.16,2633.53,546
2,2025-01-02 04:00:00+00:00,2632.83,2636.15,2631.0,2634.42,551
3,2025-01-02 07:30:00+00:00,2633.7,2645.73,2631.02,2642.71,543
4,2025-01-02 11:00:00+00:00,2642.59,2648.21,2636.11,2646.41,535
5,2025-01-02 14:30:00+00:00,2646.6,2660.21,2645.49,2656.54,544
6,2025-01-02 18:00:00+00:00,2656.62,2660.18,2653.8,2658.19,545
7,2025-01-02 21:30:00+00:00,2658.06,2661.01,2656.24,2660.7,392
8,2025-01-03 01:00:00+00:00,2661.82,2664.8,2656.01,2663.89,549
9,2025-01-03 04:30:00+00:00,2663.86,2663.86,2651.67,2654.29,544
10,2025-01-03 08:00:00+00:00,2654.72,2659.14,2650.04,2656.86,540
11,2025-01-03 11:30:00+00:00,2656.85,2658.61,2643.85,2647.72,540
12,2025-01-03 15:00:00+00:00,2648.26,2648.26,2638.1,2641.15,543
13,2025-01-03 18:30:00+00:00,2641.42,2642.78,2636.1,2639.82,547
14,2025-01-05 19:30:00+00:00,2639.82,2639.82,2639.82,2639.82,1
15,2025-01-05 23:00:00+00:00,2640.52,2647.01,2637.7,2643.62,542
16,2025-01-06 02:30:00+00:00,2643.14,2645.14,2632.23,2633.68,552
17,2025-01-06 06:00:00+00:00,2634.48,2635.45,2625.39,2633.12,544
18,2025-01-06 09:30:00+00:00,2634.06,2648.9,2631.17,2645.25,532
19,2025-01-06 13:00:00+00:00,2645.1,2648.7,2614.66,2638.49,536
20,2025-01-06 16:30:00+00:00,2638.54,2641.03,2633.17,2634.2,547
21,2025-01-06 20:00:00+00:00,2633.97,2636.78,2632.7,2634.73,392
22,2025-01-06 23:30:00+00:00,2634.7,2641.01,2632.1,2638.89,543
23,2025-01-07 03:00:00+00:00,2638.91,2646.29,2636.9,2645.34,548
24,2025-01-07 06:30:00+00:00,2645.32,2645.58,2638.16,2641.81,546
25,2025-01-07 10:00:00+00:00,2641.81,2660.78,2641.1,2659.95,543
26,2025-01-07 13:30:00+00:00,2660.81,2663.97,2642.68,2651.61,535
27,2025-01-07 17:00:00+00:00,2652.14,2655.74,2646.7,2648.24,542
28,2025-01-07 20:30:00+00:00,2648.18,2651.18,2646.8,2649.46,388
29,2025-01-08 00:00:00+00:00,2648.3,2651.22,2645.1,2647.26,549
30,2025-01-08 03:30:00+00:00,2646.72,2652.53,2644.4,2652.16,553
31,2025-01-08 07:00:00+00:00,2651.95,2654.69,2649.61,2654.07,546
32,2025-01-08 10:30:00+00:00,2654.21,2660.09,2645.78,2660.09,545
33,2025-01-08 14:00:00+00:00,2659.67,2669.76,2659.67,2662.71,544
34,2025-01-08 17:30:00+00:00,2662.55,2665.29,2650.77,2663.34,545
35,2025-01-08 21:00:00+00:00,2662.9,2663.76,2659.34,2659.71,392
36,2025-01-09 00:30:00+00:00,2660.03,2661.94,2656.4,2659.49,546
37,2025-01-09 04:00:00+00:00,2659.25,2666.55,2655.64,2665.26,546
38,2025-01-09 07:30:00+00:00,2665.16,2668.42,2660.54,2667.43,545
39,2025-01-09 11:00:00+00:00,2667.34,2677.85,2665.42,2669.33,548
40,2025-01-09 14:30:00+00:00,2671.17,2675.56,2662.79,2665.76,542
41,2025-01-09 18:00:00+00:00,2666.16,2672.31,2664.97,2669.28,551
42,2025-01-09 21:30:00+00:00,2669.36,2671.12,2668.2,2670.11,391
43,2025-01-10 01:00:00+00:00,2670.35,2674.52,2668.1,2672.8,551
44,2025-01-10 04:30:00+00:00,2672.79,2678.42,2670.6,2675.77,550
45,2025-01-10 08:00:00+00:00,2675.93,2682.25,2675.83,2681.62,543
46,2025-01-10 11:30:00+00:00,2681.71,2692.63,2663.8,2687.63,532
47,2025-01-10 15:00:00+00:00,2684.33,2697.39,2683.97,2687.73,538
48,2025-01-10 18:30:00+00:00,2687.11,2692.8,2684.48,2688.77,549
49,2025-01-12 19:30:00+00:00,2688.77,2688.77,2688.77,2688.77,1
50,2025-01-12 23:00:00+00:00,2686.31,2693.12,2679.4,2689.1,536
51,2025-01-13 02:30:00+00:00,2688.99,2690.6,2683.58,2686.79,550
52,2025-01-13 06:00:00+00:00,2687.84,2691.2,2682.55,2684.89,545
53,2025-01-13 09:30:00+00:00,2684.81,2688.03,2665.27,2670.5,544
54,2025-01-13 13:00:00+00:00,2670.24,2673.95,2661.06,2667.35,539
55,2025-01-13 16:30:00+00:00,2667.17,2667.71,2656.88,2658.91,546
56,2025-01-13 20:00:00+00:00,2659.1,2665.75,2658.3,2665.73,388
57,2025-01-13 23:30:00+00:00,2666.22,2671.96,2665.73,2670.33,547
58,2025-01-14 03:00:00+00:00,2670.16,2675.07,2667.32,2668.03,541
59,2025-01-14 06:30:00+00:00,2667.98,2673.9,2665.02,2667.29,543
60,2025-01-14 10:00:00+00:00,2666.74,2671.42,2663.6,2666.45,544
61,2025-01-14 13:30:00+00:00,2672.02,2673.78,2659.4,2671.42,541
62,2025-01-14 17:00:00+00:00,2671.41,2675.99,2665.5,2674.33,546
63,2025-01-14 20:30:00+00:00,2674.17,2677.88,2672.4,2675.21,389
64,2025-01-15 00:00:00+00:00,2675.52,2675.9,2669.2,2674.88,547
65,2025-01-15 03:30:00+00:00,2675.22,2682.98,2673.5,2681.09,551
66,2025-01-15 07:00:00+00:00,2681.06,2688.31,2680.34,2685.08,543
67,2025-01-15 10:30:00+00:00,2685.5,2693.75,2682.81,2693.7,547
68,2025-01-15 14:00:00+00:00,2694.42,2695.56,2677.04,2690.77,534
69,2025-01-15 17:30:00+00:00,2691.33,2696.24,2690.1,2696.16,553
70,2025-01-15 21:00:00+00:00,2696.22,2697.96,2690.96,2696.47,389
71,2025-01-16 00:30:00+00:00,2696.3,2701.41,2694.02,2697.04,552
72,2025-01-16 04:00:00+00:00,2697.0,2698.3,2690.0,2696.92,549
73,2025-01-16 07:30:00+00:00,2696.73,2708.33,2696.62,2707.67,543
74,2025-01-16 11:00:00+00:00,2707.71,2718.08,2700.96,2716.21,538
75,2025-01-16 14:30:00+00:00,2716.05,2724.4,2712.71,2721.56,546
76,2025-01-16 18:00:00+00:00,2721.71,2722.84,2712.06,2712.66,545
77,2025-01-16 21:30:00+00:00,2712.43,2715.9,2712.0,2714.63,395
78,2025-01-17 01:00:00+00:00,2714.2,2717.15,2709.97,2715.28,548
79,2025-01-17 04:30:00+00:00,2715.3,2715.4,2709.43,2710.48,553
80,2025-01-17 08:00:00+00:00,2710.62,2712.74,2703.4,2705.31,543
81,2025-01-17 11:30:00+00:00,2705.43,2711.96,2703.39,2711.62,543
82,2025-01-17 15:00:00+00:00,2711.81,2717.2,2708.26,2708.26,541
83,2025-01-17 18:30:00+00:00,2708.21,2708.74,2698.69,2701.88,546
84,2025-01-19 19:30:00+00:00,2701.88,2701.88,2701.88,2701.88,1
85,2025-01-19 23:00:00+00:00,2700.56,2702.57,2688.9,2695.82,531
86,2025-01-20 02:30:00+00:00,2696.32,2707.4,2695.21,2706.32,550
87,2025-01-20 06:00:00+00:00,2706.91,2713.57,2702.94,2706.36,545
88,2025-01-20 09:30:00+00:00,2705.78,2711.76,2704.57,2708.14,542
89,2025-01-20 13:00:00+00:00,2708.26,2711.16,2702.29,2706.49,543
90,2025-01-20 16:30:00+00:00,2706.52,2710.68,2704.52,2707.06,466
91,2025-01-20 20:00:00+00:00,2707.06,2708.76,2705.91,2707.85,58
92,2025-01-20 23:30:00+00:00,2708.55,2725.46,2703.18,2723.75,545
93,2025-01-21 03:00:00+00:00,2723.67,2729.21,2721.37,2725.93,550
94,2025-01-21 06:30:00+00:00,2725.58,2732.63,2718.13,2720.82,542
95,2025-01-21 10:00:00+00:00,2721.08,2729.7,2716.56,2727.66,544
96,2025-01-21 13:30:00+00:00,2726.52,2744.61,2724.79,2743.0,537
97,2025-01-21 17:00:00+00:00,2743.03,2745.69,2739.7,2741.07,547
98,2025-01-21 20:30:00+00:00,2740.82,2745.58,2740.4,2744.2,393
99,2025-01-22 00:00:00+00:00,2744.24,2749.62,2742.71,2749.53,550
100,2025-01-22 03:30:00+00:00,2748.88,2758.34,2745.76,2746.7,543
101,2025-01-22 07:00:00+00:00,2746.53,2762.03,2746.51,2762.02,546
102,2025-01-22 10:30:00+00:00,2761.93,2763.1,2751.05,2757.6,547
103,2025-01-22 14:00:00+00:00,2756.94,2760.06,2750.46,2757.31,544
104,2025-01-22 17:30:00+00:00,2757.37,2759.06,2754.5,2756.51,546
105,2025-01-22 21:00:00+00:00,2756.5,2756.9,2753.26,2754.0,390
106,2025-01-23 00:30:00+00:00,2754.32,2755.9,2749.47,2749.8,551
