GmtTime,Open,High,Low,Close,Volume
2023-06-01 00:00:00+00:00,1966.22,1967.19,1965.5,1966.47,39
2023-06-01 00:15:00+00:00,1966.43,1967.4,1966.38,1966.76,35
2023-06-01 00:30:00+00:00,1966.72,1966.79,1964.93,1964.93,39
2023-06-01 00:45:00+00:00,1965.05,1966.29,1965.05,1965.91,40
2023-06-01 01:00:00+00:00,1966.14,1967.31,1965.27,1965.6,39
2023-06-01 01:15:00+00:00,1965.48,1966.7,1964.02,1964.02,39
2023-06-01 01:30:00+00:00,1964.58,1964.71,1962.17,1962.45,39
2023-06-01 01:45:00+00:00,1964.48,1965.91,1962.25,1965.82,39
2023-06-01 02:00:00+00:00,1965.5,1965.91,1963.31,1965.22,38
2023-06-01 02:15:00+00:00,1965.41,1965.41,1963.5,1964.56,39
2023-06-01 02:30:00+00:00,1964.79,1965.2,1963.91,1964.14,39
2023-06-01 02:45:00+00:00,1964.12,1964.74,1963.3,1964.54,39
2023-06-01 03:00:00+00:00,1964.17,1966.06,1964.04,1965.3,39
2023-06-01 03:15:00+00:00,1965.24,1965.3,1963.3,1964.77,40
2023-06-01 03:30:00+00:00,1964.52,1965.38,1964.27,1965.18,39
2023-06-01 03:45:00+00:00,1965.05,1965.18,1963.3,1964.05,41
2023-06-01 04:00:00+00:00,1963.93,1964.37,1962.9,1963.92,42
2023-06-01 04:15:00+00:00,1963.98,1964.8,1963.79,1964.8,38
2023-06-01 04:30:00+00:00,1964.51,1964.8,1962.6,1963.47,41
2023-06-01 04:45:00+00:00,1963.39,1964.58,1963.39,1963.88,39
2023-06-01 05:00:00+00:00,1963.77,1964.43,1962.6,1963.58,41
2023-06-01 05:15:00+00:00,1963.82,1964.76,1963.3,1963.98,40
2023-06-01 05:30:00+00:00,1964.3,1965.63,1962.8,1963.91,40
2023-06-01 05:45:00+00:00,1963.18,1963.7,1962.76,1962.76,39
2023-06-01 06:00:00+00:00,1962.93,1962.93,1961.69,1961.69,39
2023-06-01 06:15:00+00:00,1961.78,1962.55,1961.26,1961.35,37
2023-06-01 06:30:00+00:00,1961.65,1962.0,1960.81,1962.0,39
2023-06-01 06:45:00+00:00,1961.88,1962.33,1960.8,1960.97,40
2023-06-01 07:00:00+00:00,1961.64,1961.68,1957.45,1958.15,40
2023-06-01 07:15:00+00:00,1958.68,1958.68,1956.45,1956.54,39
2023-06-01 07:30:00+00:00,1956.68,1956.99,1955.2,1955.29,39
2023-06-01 07:45:00+00:00,1955.38,1955.67,1955.06,1955.48,39
2023-06-01 08:00:00+00:00,1955.57,1956.68,1954.5,1955.4,40
2023-06-01 08:15:00+00:00,1955.61,1956.01,1955.05,1955.15,39
2023-06-01 08:30:00+00:00,1955.2,1955.2,1952.7,1954.38,39
2023-06-01 08:45:00+00:00,1953.97,1955.95,1953.97,1955.7,40
2023-06-01 09:00:00+00:00,1955.39,1957.3,1955.35,1956.68,41
2023-06-01 09:15:00+00:00,1956.77,1957.62,1956.77,1957.61,39
2023-06-01 09:30:00+00:00,1957.72,1959.09,1957.62,1958.51,39
2023-06-01 09:45:00+00:00,1958.59,1960.46,1958.56,1960.0,41
2023-06-01 10:00:00+00:00,1960.36,1960.81,1959.6,1960.21,41
2023-06-01 10:15:00+00:00,1960.39,1962.5,1960.34,1962.46,39
2023-06-01 10:30:00+00:00,1962.93,1966.05,1961.91,1965.45,39
2023-06-01 10:45:00+00:00,1965.82,1966.95,1965.44,1966.54,39
2023-06-01 11:00:00+00:00,1966.98,1968.03,1965.96,1966.87,39
2023-06-01 11:15:00+00:00,1966.8,1967.64,1966.5,1966.99,39
2023-06-01 11:30:00+00:00,1966.89,1967.57,1966.61,1967.17,39
2023-06-01 11:45:00+00:00,1967.18,1968.12,1967.05,1967.88,39
2023-06-01 12:00:00+00:00,1967.96,1967.96,1965.65,1965.65,38
2023-06-01 12:15:00+00:00,1963.39,1966.18,1959.25,1960.27,39
2023-06-01 12:30:00+00:00,1961.96,1966.34,1960.99,1964.55,37
2023-06-01 12:45:00+00:00,1964.75,1968.07,1964.55,1968.07,39
2023-06-01 13:00:00+00:00,1967.78,1970.56,1966.83,1967.07,39
2023-06-01 13:15:00+00:00,1967.57,1968.38,1966.08,1968.16,39
2023-06-01 13:30:00+00:00,1967.69,1972.88,1967.69,1972.25,36
2023-06-01 13:45:00+00:00,1973.04,1974.17,1971.98,1973.67,39
2023-06-01 14:00:00+00:00,1975.06,1976.4,1970.06,1971.98,36
2023-06-01 14:15:00+00:00,1972.0,1974.68,1970.6,1972.85,39
2023-06-01 14:30:00+00:00,1971.81,1975.68,1971.81,1974.95,39
2023-06-01 14:45:00+00:00,1975.46,1976.78,1974.69,1975.83,40
2023-06-01 15:00:00+00:00,1976.22,1978.96,1975.78,1978.44,39
2023-06-01 15:15:00+00:00,1978.86,1979.35,1977.73,1979.28,39
2023-06-01 15:30:00+00:00,1979.08,1981.91,1979.08,1980.62,38
2023-06-01 15:45:00+00:00,1981.47,1983.0,1981.2,1981.91,41
2023-06-01 16:00:00+00:00,1982.12,1982.38,1981.09,1981.67,38
2023-06-01 16:15:00+00:00,1981.34,1981.93,1979.02,1979.88,39
2023-06-01 16:30:00+00:00,1979.86,1980.94,1979.26,1979.26,39
2023-06-01 16:45:00+00:00,1979.01,1979.59,1978.61,1978.61,39
2023-06-01 17:00:00+00:00,1978.08,1978.66,1976.9,1977.86,40
2023-06-01 17:15:00+00:00,1977.82,1977.9,1976.28,1977.9,39
2023-06-01 17:30:00+00:00,1977.66,1977.75,1976.7,1977.01,40
2023-06-01 17:45:00+00:00,1976.98,1977.8,1976.88,1977.8,39
2023-06-01 18:00:00+00:00,1978.04,1978.55,1977.51,1977.62,39
2023-06-01 18:15:00+00:00,1977.63,1977.67,1976.0,1977.28,40
2023-06-01 18:30:00+00:00,1977.48,1977.93,1976.5,1977.44,40
2023-06-01 18:45:00+00:00,1977.27,1977.3,1975.66,1975.96,39
2023-06-01 19:00:00+00:00,1976.22,1976.96,1975.7,1976.95,40
2023-06-01 19:15:00+00:00,1976.97,1978.12,1976.8,1977.43,40
2023-06-01 19:30:00+00:00,1977.63,1978.05,1976.4,1977.57,41
2023-06-01 19:45:00+00:00,1977.35,1978.15,1976.8,1977.92,40
2023-06-01 20:00:00+00:00,1977.9,1978.25,1977.74,1977.76,39
2023-06-01 20:15:00+00:00,1977.57,1977.76,1976.6,1977.52,42
2023-06-01 20:30:00+00:00,1977.39,1977.88,1977.39,1977.7,39
2023-06-01 20:45:00+00:00,1977.75,1977.87,1976.8,1977.35,40
2023-06-01 21:00:00+00:00,1977.35,1977.35,1977.35,1977.35,1
2023-06-01 22:00:00+00:00,1977.14,1977.26,1976.1,1977.02,39
2023-06-01 22:15:00+00:00,1976.92,1977.15,1976.5,1976.83,39
2023-06-01 22:30:00+00:00,1976.69,1976.83,1975.7,1976.8,40
2023-06-01 22:45:00+00:00,1977.02,1977.22,1975.9,1977.21,38
2023-06-01 23:00:00+00:00,1976.81,1976.89,1976.33,1976.67,39
2023-06-01 23:15:00+00:00,1976.61,1976.77,1975.0,1976.04,41
2023-06-01 23:30:00+00:00,1976.03,1976.61,1975.4,1976.48,41
2023-06-01 23:45:00+00:00,1976.5,1977.33,1975.7,1976.87,43
2023-06-02 00:00:00+00:00,1977.15,1977.39,1975.9,1976.58,41
2023-06-02 00:15:00+00:00,1976.46,1976.46,1975.4,1976.17,35
2023-06-02 00:30:00+00:00,1976.36,1976.49,1975.2,1976.26,42
2023-06-02 00:45:00+00:00,1976.33,1976.33,1974.9,1975.89,41
2023-06-02 01:00:00+00:00,1975.89,1976.79,1974.52,1975.1,39
2023-06-02 01:15:00+00:00,1975.15,1975.45,1974.58,1974.78,40
2023-06-02 01:30:00+00:00,1974.76,1975.99,1973.3,1975.71,40
2023-06-02 01:45:00+00:00,1975.7,1978.36,1975.69,1977.36,38
2023-06-02 02:00:00+00:00,1977.6,1979.72,1976.96,1978.93,39
2023-06-02 02:15:00+00:00,1978.98,1978.98,1978.18,1978.25,39
2023-06-02 02:30:00+00:00,1978.31,1979.32,1978.0,1979.18,41
2023-06-02 02:45:00+00:00,1979.02,1980.55,1979.02,1980.34,39
2023-06-02 03:00:00+00:00,1980.53,1981.76,1980.01,1981.76,39
2023-06-02 03:15:00+00:00,1981.53,1983.42,1981.53,1983.05,39
2023-06-02 03:30:00+00:00,1982.76,1983.15,1980.7,1982.07,41
2023-06-02 03:45:00+00:00,1982.15,1982.73,1981.4,1982.42,40
2023-06-02 04:00:00+00:00,1982.52,1982.63,1980.99,1981.11,39
2023-06-02 04:15:00+00:00,1981.14,1981.29,1980.35,1980.48,38
2023-06-02 04:30:00+00:00,1980.55,1980.55,1979.1,1980.11,42
2023-06-02 04:45:00+00:00,1980.17,1980.53,1979.31,1979.43,38
2023-06-02 05:00:00+00:00,1979.53,1980.46,1978.89,1980.38,40
2023-06-02 05:15:00+00:00,1980.48,1980.48,1978.2,1978.36,40
2023-06-02 05:30:00+00:00,1978.85,1981.69,1978.1,1980.86,40
2023-06-02 05:45:00+00:00,1980.75,1981.49,1980.06,1980.43,39
2023-06-02 06:00:00+00:00,1980.26,1980.84,1978.76,1978.76,39
2023-06-02 06:15:00+00:00,1978.66,1979.4,1977.62,1977.62,40
2023-06-02 06:30:00+00:00,1977.73,1978.59,1977.1,1978.05,41
2023-06-02 06:45:00+00:00,1977.54,1978.61,1977.54,1978.41,39
2023-06-02 07:00:00+00:00,1977.76,1978.82,1977.52,1977.66,39
2023-06-02 07:15:00+00:00,1977.96,1978.23,1977.49,1978.13,39
2023-06-02 07:30:00+00:00,1977.95,1978.13,1976.0,1976.89,40
2023-06-02 07:45:00+00:00,1977.2,1977.71,1975.4,1975.91,40
2023-06-02 08:00:00+00:00,1975.74,1975.91,1974.8,1975.4,40
2023-06-02 08:15:00+00:00,1975.78,1977.07,1975.1,1976.6,38
2023-06-02 08:30:00+00:00,1976.76,1978.65,1976.6,1978.65,40
2023-06-02 08:45:00+00:00,1978.34,1979.64,1977.7,1978.97,40
2023-06-02 09:00:00+00:00,1979.13,1979.29,1977.9,1978.46,40
2023-06-02 09:15:00+00:00,1978.66,1979.21,1977.5,1978.94,40
2023-06-02 09:30:00+00:00,1978.5,1980.87,1978.5,1980.6,40
2023-06-02 09:45:00+00:00,1980.73,1981.03,1979.6,1980.57,39
2023-06-02 10:00:00+00:00,1980.53,1980.87,1979.8,1980.38,40
2023-06-02 10:15:00+00:00,1980.27,1980.7,1978.3,1979.2,40
2023-06-02 10:30:00+00:00,1979.13,1980.54,1979.0,1980.24,41
2023-06-02 10:45:00+00:00,1980.27,1980.36,1978.25,1978.39,39
2023-06-02 11:00:00+00:00,1978.35,1979.78,1978.16,1979.09,39
2023-06-02 11:15:00+00:00,1979.01,1980.19,1978.2,1979.54,38
2023-06-02 11:30:00+00:00,1980.19,1980.76,1979.11,1979.37,38
2023-06-02 11:45:00+00:00,1979.53,1979.75,1978.45,1978.64,39
2023-06-02 12:00:00+00:00,1978.95,1979.7,1978.56,1979.38,39
2023-06-02 12:15:00+00:00,1979.26,1980.0,1977.56,1978.93,37
2023-06-02 12:30:00+00:00,1973.2,1978.7,1972.04,1972.04,39
2023-06-02 12:45:00+00:00,1972.13,1973.88,1968.2,1970.77,40
2023-06-02 13:00:00+00:00,1971.69,1974.4,1969.78,1973.64,38
2023-06-02 13:15:00+00:00,1974.08,1976.26,1972.6,1976.0,40
2023-06-02 13:30:00+00:00,1975.93,1976.24,1967.27,1968.6,39
2023-06-02 13:45:00+00:00,1968.08,1968.6,1961.9,1962.92,41
2023-06-02 14:00:00+00:00,1963.37,1966.41,1962.33,1964.39,41
2023-06-02 14:15:00+00:00,1963.91,1964.39,1961.18,1961.97,39
2023-06-02 14:30:00+00:00,1962.63,1966.86,1961.97,1966.31,38
2023-06-02 14:45:00+00:00,1966.08,1966.69,1964.75,1964.75,40
2023-06-02 15:00:00+00:00,1965.2,1965.2,1963.6,1965.04,38
2023-06-02 15:15:00+00:00,1964.7,1964.7,1962.66,1963.78,39
2023-06-02 15:30:00+00:00,1963.68,1963.78,1962.29,1962.37,41
2023-06-02 15:45:00+00:00,1962.35,1962.67,1961.18,1961.77,39
2023-06-02 16:00:00+00:00,1961.87,1961.87,1955.63,1956.15,39
2023-06-02 16:15:00+00:00,1957.42,1957.67,1955.25,1955.71,39
2023-06-02 16:30:00+00:00,1956.11,1956.44,1954.39,1954.47,39
2023-06-02 16:45:00+00:00,1954.08,1954.15,1952.48,1952.67,40
2023-06-02 17:00:00+00:00,1952.19,1953.48,1951.6,1952.68,40
2023-06-02 17:15:00+00:00,1952.14,1953.29,1951.84,1952.52,40
2023-06-02 17:30:00+00:00,1953.42,1953.42,1951.94,1952.24,39
2023-06-02 17:45:00+00:00,1951.98,1952.41,1951.29,1951.6,39
